tipo_celular,module_size,PIN1_MM,PIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.085,4.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.196,58.0,251,4,1.59,4.29 (NA-NA),247,98.41,4.06 (3.82-4.30)
GABA neurons expressing GLU receptors 22,400.0,0.366,94.0,24,16,66.67,2.22 (1.48-2.96),8,33.33,2.03 (1.61-2.45)
GLU like neurons 17,685.0,0.109,35.0,135,55,40.74,2.95 (2.52-3.37),80,59.26,3.38 (2.95-3.81)
da like neurons 11,1220.0,0.409,94.0,410,22,5.37,4.00 (3.28-4.72),388,94.63,4.26 (4.07-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.263,94.0,213,27,12.68,2.15 (1.52-2.77),186,87.32,4.06 (3.83-4.30)
endothelial cells 9,916.0,0.2,48.0,302,4,1.32,2.61 (-0.72-5.93),298,98.68,4.00 (3.77-4.22)
oligodendrocytes 20,275.0,0.128,21.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402.0,0.559,93.0,455,41,9.01,2.92 (2.34-3.50),414,90.99,4.53 (4.35-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,61,22.1,2.50 (2.22-2.78),215,77.9,3.95 (3.69-4.20)
oligodendrocytes 10,806.0,0.305,80.0,261,21,8.05,5.14 (4.44-5.83),240,91.95,4.29 (4.03-4.54)
connective tissue cells 21,101.0,0.264,31.0,116,23,19.83,5.28 (4.28-6.27),93,80.17,4.37 (3.94-4.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.308,89.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729.0,0.303,96.0,182,6,3.3,1.47 (1.37-1.56),176,96.7,3.71 (3.46-3.96)
astrocytes microglia 23,100.0,0.355,79.0,9,2,22.22,3.05 (2.02-4.09),7,77.78,4.21 (2.98-5.44)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.14,31.0,252,35,13.89,3.00 (2.29-3.72),217,86.11,4.31 (4.06-4.56)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.178,74.0,345,37,10.72,4.17 (3.73-4.62),308,89.28,4.29 (4.06-4.52)
oligodendrocytes 2,526.0,0.236,43.0,213,4,1.88,5.00 (3.90-6.09),209,98.12,3.96 (3.68-4.24)
