tipo_celular,module_size,GSTCD_MM,GSTCD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.095,11.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.136,58.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,6,1.7,0.77 (0.27-1.27),347,98.3,3.96 (3.78-4.14)
GABA neurons expressing GLU receptors 22,1069.0,0.186,65.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.123,50.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,153.0,0.239,51.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.378,96.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.243,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.103,47.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.175,61.0,358,6,1.68,0.77 (0.27-1.27),352,98.32,3.93 (3.74-4.12)
connective tissue cells 21,57.0,0.381,84.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.151,91.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,91.0,0.289,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.281,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.153,53.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.139,39.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.091,17.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.108,62.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.107,5.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
