tipo_celular,module_size,PPCDC_MM,PPCDC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.178,63.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.146,89.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,18,5.1,1.54 (1.09-2.00),335,94.9,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,714.0,0.232,74.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.218,88.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.162,38.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.153,41.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,676.0,0.061,29.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2090.0,0.149,46.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,1266.0,0.127,81.0,66,3,4.55,1.56 (-0.41-3.53),63,95.45,3.32 (2.90-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,18,6.52,1.98 (1.47-2.49),258,93.48,3.68 (3.46-3.90)
oligodendrocytes 10,1277.0,0.1,45.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.28,50.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67)
astrocytes 15,418.0,0.081,44.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,75.0,0.158,25.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.297,39.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,721.0,0.163,73.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,479.0,0.117,19.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.076,6.0,161,15,9.32,1.36 (0.90-1.81),146,90.68,3.52 (3.25-3.79)
oligodendrocytes 3,357.0,0.066,25.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407.0,0.156,52.0,122,9,7.38,1.53 (0.89-2.16),113,92.62,3.52 (3.12-3.92)
