tipo_celular,module_size,UBA5_MM,UBA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.142,49.0,49,4,8.16,3.75 (2.80-4.70),45,91.84,2.30 (1.89-2.70)
astrocytes 5,1656.0,0.143,90.0,136,6,4.41,3.46 (2.87-4.06),130,95.59,3.19 (2.91-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,31,8.78,2.56 (1.87-3.26),322,91.22,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.043,1.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,380.0,0.16,41.0,39,3,7.69,4.31 (0.93-7.69),36,92.31,2.84 (2.32-3.37)
da like neurons 11,289.0,0.079,5.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.063,4.0,297,4,1.35,3.75 (2.80-4.70),293,98.65,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.036,6.0,169,10,5.92,2.63 (1.67-3.58),159,94.08,3.55 (3.32-3.77)
GABA like neurons 14,3052.0,0.164,71.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354.0,0.095,34.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,23,8.33,2.45 (1.92-2.99),253,91.67,3.66 (3.43-3.89)
oligodendrocytes 10,483.0,0.068,22.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,111.0,0.346,76.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22)
astrocytes 15,1768.0,0.075,38.0,105,21,20.0,2.90 (2.08-3.71),84,80.0,3.30 (2.94-3.66)
oligodendrocytes 16,85.0,0.241,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.32,50.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.18,97.0,104,20,19.23,2.41 (1.85-2.98),84,80.77,2.98 (2.66-3.30)
oligodendrocytes 0,2078.0,0.104,30.0,238,12,5.04,3.84 (2.71-4.98),226,94.96,3.62 (3.40-3.85)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.076,33.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
