tipo_celular,module_size,DNAJC16_MM,DNAJC16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.075,3.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.143,89.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,19,5.38,2.24 (1.21-3.27),334,94.62,4.01 (3.83-4.18)
GABA neurons expressing GLU receptors 22,1069.0,0.093,8.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.084,15.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.081,4.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.152,44.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,1653.0,0.053,2.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.16,32.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.122,27.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.022,1.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.072,26.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29)
oligodendrocytes 10,2107.0,0.035,2.0,358,17,4.75,2.09 (0.93-3.25),341,95.25,3.97 (3.79-4.16)
connective tissue cells 21,111.0,0.296,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.1,63.0,105,14,13.33,3.31 (2.21-4.42),91,86.67,3.20 (2.85-3.54)
oligodendrocytes 16,91.0,0.293,85.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.366,77.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.159,77.0,104,11,10.58,2.85 (1.82-3.87),93,89.42,2.86 (2.57-3.16)
oligodendrocytes 0,2078.0,0.119,60.0,238,6,2.52,4.40 (1.71-7.08),232,97.48,3.62 (3.40-3.83)
microglia 1,1615.0,0.082,12.0,161,14,8.7,2.25 (0.82-3.67),147,91.3,3.38 (3.14-3.63)
oligodendrocytes 3,639.0,0.064,21.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.144,53.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
