tipo_celular,module_size,VPS50_MM,VPS50_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.168,62.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610,0.174,67.0,98,15,15.31,1.67 (0.96-2.38),83,84.69,3.42 (3.10-3.73)
astrocytes 5,1141,0.1,14.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,4285,0.163,89.0,353,20,5.67,2.16 (1.29-3.02),333,94.33,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,703,0.176,45.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,795,0.05,2.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,109,0.325,81.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,73,0.363,100.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.108,35.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233,0.219,65.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283,0.164,64.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,12,4.35,2.34 (1.74-2.95),264,95.65,3.61 (3.39-3.84)
oligodendrocytes 10,2107,0.097,27.0,358,17,4.75,1.90 (1.03-2.76),341,95.25,3.99 (3.81-4.18)
connective tissue cells 21,69,0.243,21.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.071,34.0,105,7,6.67,1.60 (0.81-2.40),98,93.33,3.34 (2.99-3.68)
oligodendrocytes 16,88,0.17,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300,0.133,40.0,159,2,1.26,4.15 (2.64-5.65),157,98.74,4.37 (4.05-4.68)
astrocytes microglia 23,122,0.276,32.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787,0.154,55.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.144,49.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,1615,0.14,84.0,161,14,8.7,1.39 (0.69-2.09),147,91.3,3.50 (3.23-3.76)
oligodendrocytes 3,1003,0.088,41.0,111,1,0.9,6.67 (NA-NA),110,99.1,3.27 (2.93-3.61)
oligodendrocytes 2,804,0.15,50.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12)
