tipo_celular,module_size,CARMIL1_MM,CARMIL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.158,50.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.263,73.0,98,9,9.18,5.19 (3.57-6.81),89,90.82,4.53 (4.11-4.94)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,459.0,0.295,88.0,165,7,4.24,2.03 (0.90-3.15),158,95.76,5.23 (4.90-5.57)
GLU like neurons 17,685.0,0.194,75.0,135,18,13.33,1.72 (1.27-2.17),117,86.67,3.40 (3.07-3.72)
da like neurons 11,97.0,0.29,69.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.437,91.0,54,6,11.11,5.16 (3.88-6.44),48,88.89,4.78 (4.08-5.48)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.143,54.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.352,98.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.193,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.509,91.0,54,3,5.56,3.32 (1.33-5.30),51,94.44,3.71 (3.25-4.16)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.367,80.0,46,3,6.52,5.73 (4.54-6.92),43,93.48,4.98 (4.38-5.57)
astrocytes 4,220.0,0.121,22.0,63,7,11.11,4.14 (2.70-5.57),56,88.89,5.30 (4.70-5.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.171,96.0,161,23,14.29,1.64 (1.12-2.17),138,85.71,3.58 (3.31-3.85)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
