tipo_celular,module_size,NOSIP_MM,NOSIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.065,2.0,98,5,5.1,1.57 (0.70-2.44),93,94.9,3.34 (2.85-3.83)
T cells 18,393.0,0.17,60.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.081,8.0,302,4,1.32,1.37 (0.52-2.22),298,98.68,4.03 (3.80-4.25)
oligodendrocytes 20,322.0,0.119,48.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.095,7.0,455,23,5.05,1.72 (1.22-2.22),432,94.95,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.071,23.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.208,59.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.351,75.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.064,1.0,127,4,3.15,2.67 (1.89-3.45),123,96.85,3.07 (2.64-3.50)
microglia 1,1615.0,0.082,12.0,161,23,14.29,1.58 (1.13-2.02),138,85.71,3.63 (3.36-3.90)
oligodendrocytes 3,681.0,0.023,0.0,87,15,17.24,1.87 (1.34-2.39),72,82.76,2.75 (2.45-3.05)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
