tipo_celular,module_size,BCKDHB_MM,BCKDHB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.163,25.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.155,59.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,499.0,0.172,56.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,448.0,0.123,34.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714.0,0.142,26.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,637.0,0.131,38.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,77.0,0.403,78.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.153,69.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.232,84.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.217,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.306,66.0,78,1,1.28,1.62 (NA-NA),77,98.72,4.36 (3.94-4.77)
oligodendrocyte progenitor cells 12,138.0,0.529,87.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.249,82.0,358,22,6.15,1.62 (1.11-2.13),336,93.85,4.06 (3.88-4.25)
connective tissue cells 21,95.0,0.21,14.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,208.0,0.366,72.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,121.0,0.132,2.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.259,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.137,31.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.169,85.0,300,1,0.33,5.72 (NA-NA),299,99.67,3.78 (3.58-3.99)
microglia 1,813.0,0.138,72.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,854.0,0.159,94.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.168,67.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
