tipo_celular,module_size,CPLX1_MM,CPLX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.214,52.0,262,33,12.6,4.51 (3.79-5.23),229,87.4,4.11 (3.84-4.37)
GLU like neurons 17,1247.0,0.118,38.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,853.0,0.058,3.0,133,3,2.26,2.09 (0.16-4.02),130,97.74,3.29 (2.97-3.60)
GABA neurons expressing GABA receptors 13,266.0,0.412,99.0,118,16,13.56,4.90 (4.08-5.71),102,86.44,4.72 (4.33-5.10)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.196,77.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.184,93.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
