tipo_celular,module_size,UGDH_MM,UGDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.16,45.0,127,7,5.51,3.38 (3.19-3.58),120,94.49,3.85 (3.50-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.096,8.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.111,45.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.16,55.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.063,24.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.361,85.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
