tipo_celular,module_size,HDAC7_MM,HDAC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.204,44.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.184,59.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34)
astrocytes 5,322.0,0.197,62.0,58,26,44.83,3.92 (3.30-4.54),32,55.17,4.43 (3.86-5.01)
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,58,16.43,2.27 (1.95-2.59),295,83.57,4.30 (4.12-4.48)
GABA neurons expressing GLU receptors 22,1069.0,0.18,61.0,37,5,13.51,2.33 (1.74-2.92),32,86.49,2.12 (1.59-2.65)
GLU like neurons 17,685.0,0.1,28.0,135,34,25.19,2.42 (1.93-2.92),101,74.81,3.46 (3.10-3.82)
da like neurons 11,265.0,0.168,42.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.174,39.0,120,46,38.33,4.45 (3.96-4.94),74,61.67,4.72 (4.30-5.13)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.207,82.0,74,9,12.16,2.02 (1.77-2.27),65,87.84,3.09 (2.67-3.51)
astrocytes 8,260.0,0.163,70.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,43,15.58,2.20 (1.91-2.49),233,84.42,3.87 (3.63-4.10)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,88.0,0.335,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.121,77.0,96,5,5.21,2.34 (1.47-3.22),91,94.79,3.68 (3.21-4.15)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.263,24.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,721.0,0.156,59.0,61,2,3.28,3.13 (2.98-3.28),59,96.72,2.96 (2.53-3.39)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.121,57.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
