tipo_celular,module_size,FHL1_MM,FHL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.147,48.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.201,73.0,127,14,11.02,2.70 (1.88-3.52),113,88.98,4.02 (3.66-4.37)
GABA neurons expressing GLU receptors 22,848.0,0.147,22.0,262,13,4.96,2.61 (1.68-3.53),249,95.04,4.26 (4.01-4.50)
GLU like neurons 17,795.0,0.127,48.0,80,5,6.25,4.71 (2.88-6.54),75,93.75,5.78 (5.36-6.19)
da like neurons 11,209.0,0.103,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.216,83.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,303.0,0.224,61.0,54,1,1.85,5.06 (NA-NA),53,98.15,4.83 (4.19-5.47)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520.0,0.08,31.0,288,10,3.47,2.66 (1.69-3.62),278,96.53,4.23 (4.03-4.43)
oligodendrocyte progenitor cells 12,3303.0,0.072,42.0,276,8,2.9,1.47 (1.03-1.90),268,97.1,3.62 (3.41-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.202,6.0,158,2,1.27,1.54 (-0.40-3.49),156,98.73,4.30 (3.94-4.67)
astrocytes 15,338.0,0.245,93.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.113,31.0,159,2,1.26,4.55 (3.00-6.09),157,98.74,4.36 (4.05-4.67)
astrocytes microglia 23,161.0,0.375,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.123,12.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
