tipo_celular,module_size,ARL2BP_MM,ARL2BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.167,63.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.145,36.0,164,2,1.22,2.26 (NA-NA),162,98.78,4.10 (3.77-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.228,55.0,73,3,4.11,2.77 (0.42-5.12),70,95.89,2.75 (2.36-3.15)
GLU like neurons 17,685.0,0.148,59.0,135,26,19.26,2.21 (1.77-2.65),109,80.74,3.48 (3.13-3.83)
da like neurons 11,1220.0,0.148,37.0,410,12,2.93,2.76 (2.13-3.40),398,97.07,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,65.0,0.193,66.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,559.0,0.142,44.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,403.0,0.039,8.0,18,9,50.0,0.97 (0.45-1.48),9,50.0,2.79 (1.85-3.73)
GABA like neurons 14,2402.0,0.254,56.0,455,29,6.37,2.18 (1.64-2.71),426,93.63,4.54 (4.36-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,39,14.13,2.41 (2.03-2.80),237,85.87,3.77 (3.53-4.00)
oligodendrocytes 10,735.0,0.163,80.0,277,2,0.72,3.97 (2.31-5.63),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,139.0,0.388,85.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.251,78.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80)
da neurons 6,553.0,0.094,24.0,124,6,4.84,2.95 (1.67-4.22),118,95.16,4.27 (3.87-4.68)
astrocytes microglia 23,108.0,0.371,75.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,61.0,238,10,4.2,2.75 (1.79-3.70),228,95.8,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.028,1.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.153,73.0,154,4,2.6,2.44 (1.87-3.02),150,97.4,3.27 (3.00-3.54)
