tipo_celular,module_size,PCDH7_MM,PCDH7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.221,57.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,436.0,0.109,36.0,219,1,0.46,4.39 (NA-NA),218,99.54,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,714.0,0.205,62.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.319,95.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,153.0,0.347,85.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,357.0,0.12,27.0,237,1,0.42,NA,236,99.58,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.16,27.0,306,5,1.63,2.19 (0.82-3.56),301,98.37,5.16 (4.90-5.42)
astrocytes 8,727.0,0.221,93.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.188,73.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.478,88.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.21,97.0,122,12,9.84,1.69 (1.02-2.37),110,90.16,4.33 (3.94-4.72)
astrocytes microglia 23,122.0,0.355,75.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,161.0,0.275,82.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
