tipo_celular,module_size,SFXN1_MM,SFXN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.221,58.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477,0.206,76.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.095,28.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,15,4.25,1.21 (0.69-1.73),338,95.75,4.05 (3.87-4.22)
GABA neurons expressing GLU receptors 22,203,0.217,32.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316,0.068,7.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,108,0.198,43.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,238,0.137,32.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303,0.12,30.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,330,0.286,84.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052,0.198,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.086,35.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.074,44.0,276,9,3.26,1.92 (1.31-2.53),267,96.74,3.61 (3.39-3.83)
oligodendrocytes 10,806,0.076,16.0,261,11,4.21,2.03 (1.85-2.22),250,95.79,4.50 (4.26-4.75)
connective tissue cells 21,91,0.258,28.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,443,0.155,53.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,104,0.203,42.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,307,0.137,65.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,161,0.314,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.171,84.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309,0.139,56.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813,0.093,19.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,1003,0.075,27.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.133,42.0,200,3,1.5,2.54 (1.22-3.86),197,98.5,3.64 (3.37-3.91)
