tipo_celular,module_size,TMEM65_MM,TMEM65_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.238,80.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727.0,0.097,15.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.134,80.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.193,100.0,353,11,3.12,1.02 (0.59-1.45),342,96.88,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.234,75.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,685.0,0.13,49.0,135,3,2.22,0.90 (0.48-1.32),132,97.78,3.25 (2.95-3.56)
da like neurons 11,197.0,0.126,22.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.137,58.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.171,68.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,3052.0,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.118,57.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.09,37.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.283,87.0,358,10,2.79,0.72 (0.42-1.02),348,97.21,3.98 (3.80-4.17)
connective tissue cells 21,84.0,0.31,68.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377.0,0.32,98.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,90.0,0.227,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.276,64.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,787.0,0.195,100.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.114,50.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.225,100.0,161,9,5.59,0.82 (0.41-1.23),152,94.41,3.45 (3.19-3.71)
oligodendrocytes 3,681.0,0.124,73.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,921.0,0.139,52.0,200,1,0.5,1.74 (NA-NA),199,99.5,3.63 (3.37-3.90)
