tipo_celular,module_size,FGF2_MM,FGF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.22,71.0,58,34,58.62,4.10 (3.58-4.62),24,41.38,4.33 (3.57-5.09)
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,61,17.28,2.30 (2.01-2.60),292,82.72,4.33 (4.14-4.51)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.083,15.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.172,49.0,54,2,3.7,5.82 (4.50-7.13),52,96.3,4.77 (4.12-5.43)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.1,18.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.2,89.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.113,85.0,276,53,19.2,2.37 (2.10-2.63),223,80.8,3.92 (3.67-4.17)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.258,33.0,7,4,57.14,1.36 (0.78-1.94),3,42.86,1.65 (-0.44-3.74)
astrocytes 15,367.0,0.097,22.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.235,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.179,53.0,22,4,18.18,4.95 (2.58-7.32),18,81.82,4.45 (3.42-5.49)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
