tipo_celular,module_size,LAMA5_MM,LAMA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.094,19.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.141,27.0,120,15,12.5,3.42 (2.74-4.11),105,87.5,4.80 (4.47-5.14)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.084,55.0,89,1,1.12,2.97 (NA-NA),88,98.88,2.76 (2.40-3.11)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.033,5.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.34,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,54.0,104,6,5.77,0.87 (0.37-1.36),98,94.23,2.99 (2.72-3.27)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
