tipo_celular,module_size,NMD3_MM,NMD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.118,18.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.208,77.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,63,17.85,2.35 (2.02-2.68),290,82.15,4.33 (4.14-4.51)
GABA neurons expressing GLU receptors 22,714.0,0.173,47.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,489.0,0.069,7.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,289.0,0.194,55.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.178,41.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.188,87.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,354.0,0.166,74.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,52,18.84,2.34 (2.05-2.62),224,81.16,3.93 (3.68-4.17)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,95.0,0.328,72.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA)
astrocytes 15,1768.0,0.157,93.0,105,24,22.86,2.31 (1.78-2.84),81,77.14,3.51 (3.12-3.90)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.337,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.17,75.0,96,10,10.42,2.36 (1.97-2.75),86,89.58,3.43 (3.07-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.102,15.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
