tipo_celular,module_size,ZNF462_MM,ZNF462_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.116,28.0,166,30,18.07,2.02 (1.71-2.34),136,81.93,3.77 (3.51-4.04)
oligodendrocyte progenitor cells 7,436.0,0.203,83.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,823.0,0.188,56.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.251,85.0,135,21,15.56,1.79 (1.43-2.15),114,84.44,3.51 (3.17-3.84)
da like neurons 11,145.0,0.432,94.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.215,51.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,275.0,0.04,7.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.155,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.084,53.0,66,14,21.21,1.70 (1.07-2.33),52,78.79,3.72 (3.30-4.15)
oligodendrocyte progenitor cells 12,411.0,0.302,72.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,1277.0,0.176,83.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,112.0,0.237,47.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,1768.0,0.099,62.0,105,13,12.38,1.36 (0.99-1.73),92,87.62,3.50 (3.15-3.84)
oligodendrocytes 16,65.0,0.197,54.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.187,0.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,752.0,0.146,39.0,96,8,8.33,2.56 (2.19-2.93),88,91.67,3.37 (3.01-3.73)
oligodendrocytes 0,479.0,0.141,41.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.081,33.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804.0,0.191,85.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
