tipo_celular,module_size,ADAMTS9_MM,ADAMTS9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.136,33.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.163,89.0,353,19,5.38,1.49 (1.01-1.96),334,94.62,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.347,95.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.137,60.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,10,3.62,1.81 (1.18-2.45),266,96.38,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.404,94.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,377.0,0.122,28.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.295,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.117,8.0,96,3,3.12,4.29 (1.05-7.52),93,96.88,3.25 (2.93-3.57)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
