tipo_celular,module_size,ENDOD1_MM,ENDOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.134,30.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,296.0,0.14,23.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.185,40.0,262,9,3.44,2.65 (1.21-4.09),253,96.56,4.20 (3.95-4.45)
GLU like neurons 17,637.0,0.151,47.0,91,6,6.59,1.26 (0.25-2.28),85,93.41,4.86 (4.36-5.36)
da like neurons 11,1220.0,0.129,28.0,410,8,1.95,2.99 (1.33-4.64),402,98.05,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,357.0,0.24,79.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,586.0,0.128,28.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298.0,0.108,40.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.305,67.0,455,12,2.64,1.76 (0.56-2.96),443,97.36,4.41 (4.22-4.59)
astrocytes 8,771.0,0.126,50.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.096,41.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,806.0,0.123,36.0,261,6,2.3,2.24 (0.38-4.09),255,97.7,4.39 (4.14-4.63)
connective tissue cells 21,145.0,0.187,5.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.112,28.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,91.0,0.201,53.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,518.0,0.155,83.0,122,10,8.2,1.38 (0.54-2.22),112,91.8,4.17 (3.78-4.56)
astrocytes microglia 23,63.0,0.246,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.139,29.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.111,15.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.086,57.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.227,64.0,175,8,4.57,3.17 (1.87-4.48),167,95.43,4.42 (4.06-4.78)
