tipo_celular,module_size,SAT2_MM,SAT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.238,70.0,21,2,9.52,0.45 (0.32-0.59),19,90.48,2.51 (1.88-3.13)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.228,72.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.151,41.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,400.0,0.317,92.0,24,2,8.33,0.45 (0.32-0.59),22,91.67,2.31 (1.80-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.163,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.243,60.0,302,4,1.32,2.90 (1.09-4.72),298,98.68,4.00 (3.77-4.23)
oligodendrocytes 20,938.0,0.095,34.0,169,9,5.33,2.43 (0.75-4.11),160,94.67,3.52 (3.30-3.74)
GABA like neurons 14,2402.0,0.317,69.0,455,11,2.42,1.95 (0.65-3.26),444,97.58,4.39 (4.21-4.58)
astrocytes 8,603.0,0.148,80.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,1049.0,0.12,64.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.056,16.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,136.0,0.431,95.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.063,26.0,105,6,5.71,1.45 (0.60-2.31),99,94.29,3.33 (2.99-3.67)
oligodendrocytes 16,90.0,0.298,88.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.158,53.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,131.0,0.26,20.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,208.0,0.183,42.0,173,1,0.58,NA,172,99.42,3.80 (3.50-4.10)
oligodendrocytes 0,546.0,0.144,34.0,252,12,4.76,1.95 (0.82-3.08),240,95.24,4.18 (3.94-4.43)
microglia 1,406.0,0.101,16.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.141,52.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.224,38.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
