tipo_celular,module_size,MCRIP1_MM,MCRIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.148,44.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.122,19.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,400.0,0.276,86.0,24,6,25.0,0.51 (0.32-0.70),18,75.0,2.70 (2.26-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.246,69.0,410,4,0.98,2.32 (-1.15-5.78),406,99.02,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.118,16.0,213,9,4.23,0.67 (0.30-1.03),204,95.77,3.93 (3.70-4.16)
endothelial cells 9,916.0,0.203,49.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,279.0,0.205,49.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.313,68.0,455,12,2.64,0.99 (0.20-1.77),443,97.36,4.44 (4.26-4.62)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.152,75.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.169,81.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,142.0,0.331,57.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.162,29.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.179,64.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,127.0,0.345,72.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.133,29.0,252,8,3.17,0.70 (0.32-1.07),244,96.83,4.24 (4.00-4.48)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.101,40.0,345,1,0.29,4.08 (NA-NA),344,99.71,4.27 (4.06-4.48)
oligodendrocytes 2,526.0,0.272,53.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
