tipo_celular,module_size,ZFHX4_MM,ZFHX4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.146,41.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,36,10.2,1.57 (1.31-1.82),317,89.8,4.24 (4.07-4.42)
GABA neurons expressing GLU receptors 22,459.0,0.187,63.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,489.0,0.406,97.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,197.0,0.417,95.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.177,66.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.171,38.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.151,23.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43)
astrocytes 8,727.0,0.122,59.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143.0,0.464,77.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806.0,0.191,60.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,183.0,0.146,4.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,261.0,0.158,55.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,82.0,0.123,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.184,91.0,122,4,3.28,0.41 (0.26-0.57),118,96.72,4.15 (3.77-4.53)
astrocytes microglia 23,83.0,0.253,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.277,94.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.185,96.0,300,3,1.0,2.47 (1.87-3.06),297,99.0,3.81 (3.60-4.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.156,87.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.191,47.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
