tipo_celular,module_size,ILK_MM,ILK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.252,76.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,506.0,0.133,26.0,225,19,8.44,2.37 (1.75-2.99),206,91.56,3.75 (3.49-4.01)
astrocytes 5,1656.0,0.102,28.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,49,13.88,2.18 (1.87-2.49),304,86.12,4.26 (4.07-4.44)
GABA neurons expressing GLU receptors 22,599.0,0.215,53.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.109,42.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.07,13.0,54,6,11.11,4.29 (NA-NA),48,88.89,4.85 (4.21-5.50)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.171,31.0,455,17,3.74,1.69 (0.84-2.53),438,96.26,4.46 (4.28-4.64)
astrocytes 8,603.0,0.064,39.0,89,7,7.87,1.67 (0.66-2.67),82,92.13,2.89 (2.53-3.26)
oligodendrocyte progenitor cells 12,1049.0,0.092,50.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.34,81.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1768.0,0.058,21.0,105,14,13.33,1.65 (1.16-2.14),91,86.67,3.48 (3.12-3.83)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.061,6.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,95.0,0.221,7.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.125,17.0,104,20,19.23,1.77 (1.39-2.15),84,80.77,3.15 (2.84-3.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.082,12.0,161,50,31.06,2.28 (1.97-2.59),111,68.94,3.86 (3.53-4.18)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
