tipo_celular,module_size,FAM13B_MM,FAM13B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.13,29.0,32,8,25.0,5.12 (3.97-6.27),24,75.0,3.14 (2.25-4.02)
T cells 18,477.0,0.223,82.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.128,44.0,166,6,3.61,3.95 (2.40-5.51),160,96.39,3.36 (3.11-3.62)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,6,1.7,2.54 (0.65-4.44),347,98.3,3.92 (3.73-4.10)
GABA neurons expressing GLU receptors 22,714.0,0.177,48.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.162,80.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,108.0,0.266,70.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,238.0,0.143,36.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37)
endothelial cells 9,1653.0,0.213,93.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.276,51.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300.0,0.256,72.0,306,22,7.19,3.38 (2.54-4.21),284,92.81,5.29 (5.02-5.55)
astrocytes 8,771.0,0.228,71.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,218.0,0.138,34.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,130.0,0.512,73.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.26,40.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,458.0,0.105,56.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.251,19.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.297,76.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752.0,0.13,19.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,613.0,0.182,81.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615.0,0.097,30.0,161,10,6.21,3.22 (1.97-4.46),151,93.79,3.28 (3.00-3.55)
oligodendrocytes 3,44.0,0.224,40.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,348.0,0.209,55.0,114,7,6.14,5.39 (4.03-6.75),107,93.86,5.09 (4.66-5.52)
