tipo_celular,module_size,VAC14_MM,VAC14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.217,54.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,610.0,0.11,19.0,98,17,17.35,1.66 (0.95-2.37),81,82.65,3.47 (3.16-3.77)
astrocytes 5,1656.0,0.094,19.0,136,3,2.21,2.93 (1.28-4.59),133,97.79,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,31,8.78,2.73 (2.01-3.46),322,91.22,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,599.0,0.166,28.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.123,41.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.26,69.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.058,19.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.137,38.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.076,44.0,66,8,12.12,0.95 (0.20-1.69),58,87.88,3.60 (3.22-3.98)
oligodendrocyte progenitor cells 12,708.0,0.067,27.0,32,9,28.12,1.61 (0.60-2.62),23,71.88,4.02 (3.11-4.93)
oligodendrocytes 10,2107.0,0.088,22.0,358,23,6.42,1.63 (1.01-2.24),335,93.58,4.07 (3.89-4.25)
connective tissue cells 21,111.0,0.362,80.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1401.0,0.055,21.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,158.0,0.221,64.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.333,58.0,6,1,16.67,5.62 (NA-NA),5,83.33,3.59 (3.46-3.72)
astrocytes 4,787.0,0.156,60.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.111,43.0,238,3,1.26,2.23 (0.24-4.22),235,98.74,3.66 (3.44-3.88)
microglia 1,346.0,0.112,23.0,43,6,13.95,4.11 (3.74-4.49),37,86.05,3.70 (3.10-4.30)
oligodendrocytes 3,242.0,0.046,3.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
