tipo_celular,module_size,BTN2A1_MM,BTN2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.214,61.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282.0,0.174,47.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.1,9.0,353,14,3.97,1.45 (1.09-1.80),339,96.03,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.031,0.0,155,2,1.29,4.06 (2.24-5.88),153,98.71,4.34 (3.97-4.71)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.191,38.0,455,6,1.32,1.01 (0.75-1.27),449,98.68,4.40 (4.22-4.59)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,15,5.43,1.46 (1.17-1.76),261,94.57,3.70 (3.48-3.92)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.088,25.0,122,3,2.46,1.15 (0.15-2.14),119,97.54,4.08 (3.69-4.47)
astrocytes microglia 23,101.0,0.336,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.1,36.0,161,14,8.7,1.45 (1.09-1.80),147,91.3,3.49 (3.22-3.76)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
