tipo_celular,module_size,ZNF644_MM,ZNF644_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.195,66.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.158,56.0,98,19,19.39,1.22 (0.90-1.54),79,80.61,3.64 (3.35-3.93)
astrocytes 5,423.0,0.217,81.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.125,19.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,599.0,0.274,78.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.139,42.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,200.0,0.315,84.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.185,85.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.34,60.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.189,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.177,88.0,83,4,4.82,1.55 (0.88-2.21),79,95.18,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,218.0,0.333,68.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,130.0,0.519,76.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.217,13.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,443.0,0.12,26.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,153.0,0.272,24.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.238,16.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,514.0,0.309,87.0,95,5,5.26,1.14 (0.66-1.61),90,94.74,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.099,4.0,300,1,0.33,3.05 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,958.0,0.125,71.0,290,4,1.38,0.90 (0.75-1.04),286,98.62,3.85 (3.62-4.08)
oligodendrocytes 3,44.0,0.307,94.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,804.0,0.164,63.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
