tipo_celular,module_size,TRPC5_MM,TRPC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,459.0,0.295,88.0,165,26,15.76,3.62 (3.22-4.03),139,84.24,5.49 (5.10-5.88)
GLU like neurons 17,795.0,0.193,75.0,80,8,10.0,3.96 (3.26-4.66),72,90.0,5.97 (5.55-6.39)
da like neurons 11,209.0,0.174,51.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.017,1.0,18,1,5.56,0.79 (NA-NA),17,94.44,1.94 (1.23-2.65)
GABA like neurons 14,3052.0,0.17,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.086,36.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.306,89.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.157,63.0,127,1,0.79,3.48 (NA-NA),126,99.21,3.05 (2.63-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.174,82.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348.0,0.221,60.0,114,9,7.89,3.23 (2.65-3.81),105,92.11,5.35 (4.92-5.78)
