tipo_celular,module_size,RAD17_MM,RAD17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.101,27.0,136,1,0.74,5.16 (NA-NA),135,99.26,3.19 (2.92-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.13,43.0,353,43,12.18,2.16 (1.77-2.55),310,87.82,4.19 (4.00-4.37)
GABA neurons expressing GLU receptors 22,567.0,0.16,36.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,300.0,0.178,40.0,16,6,37.5,2.92 (2.30-3.55),10,62.5,1.45 (0.17-2.73)
da like neurons 11,137.0,0.196,25.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.082,28.0,169,3,1.78,1.72 (-0.92-4.35),166,98.22,3.52 (3.30-3.73)
GABA like neurons 14,3052.0,0.065,4.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67)
astrocytes 8,727.0,0.064,20.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.041,6.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735.0,0.063,23.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,73.0,0.203,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.083,47.0,105,14,13.33,1.72 (1.25-2.19),91,86.67,3.46 (3.11-3.82)
oligodendrocytes 16,91.0,0.308,95.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.332,57.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.133,29.0,104,17,16.35,1.70 (1.24-2.17),87,83.65,3.11 (2.81-3.41)
oligodendrocytes 0,2078.0,0.106,32.0,238,10,4.2,2.88 (1.95-3.81),228,95.8,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.05,8.0,15,4,26.67,0.89 (-0.17-1.96),11,73.33,4.39 (2.96-5.82)
oligodendrocytes 2,1630.0,0.131,28.0,154,3,1.95,3.66 (2.93-4.39),151,98.05,3.24 (2.96-3.51)
