tipo_celular,module_size,DDX10_MM,DDX10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.249,87.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41)
T cells 18,727.0,0.133,40.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.112,44.0,136,10,7.35,2.64 (1.65-3.64),126,92.65,3.26 (2.98-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,31,8.78,1.75 (1.26-2.24),322,91.22,4.14 (3.97-4.32)
GABA neurons expressing GLU receptors 22,703.0,0.18,46.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1316.0,0.093,22.0,101,3,2.97,2.73 (2.53-2.94),98,97.03,3.06 (2.70-3.43)
da like neurons 11,132.0,0.107,17.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.139,59.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,295.0,0.01,0.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71)
GABA like neurons 14,3052.0,0.152,61.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66)
astrocytes 8,771.0,0.063,20.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.077,32.0,32,6,18.75,0.64 (0.21-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,2107.0,0.268,84.0,358,29,8.1,1.75 (1.26-2.23),329,91.9,4.12 (3.94-4.30)
connective tissue cells 21,111.0,0.276,46.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.162,95.0,105,15,14.29,1.47 (1.05-1.88),90,85.71,3.53 (3.19-3.88)
oligodendrocytes 16,87.0,0.188,49.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.079,26.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,134.0,0.276,28.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,787.0,0.132,17.0,65,2,3.08,4.01 (1.74-6.28),63,96.92,2.92 (2.52-3.32)
oligodendrocytes 0,2078.0,0.111,44.0,238,7,2.94,2.81 (1.46-4.16),231,97.06,3.67 (3.44-3.89)
microglia 1,813.0,0.211,94.0,79,6,7.59,5.62 (4.84-6.40),73,92.41,2.87 (2.48-3.26)
oligodendrocytes 3,1003.0,0.085,38.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.106,6.0,84,4,4.76,1.32 (0.32-2.32),80,95.24,2.77 (2.43-3.12)
