tipo_celular,module_size,WDR36_MM,WDR36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.313,92.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518.0,0.119,24.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.183,98.0,353,13,3.68,1.59 (0.92-2.26),340,96.32,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,703.0,0.155,32.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,380.0,0.224,84.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.06,2.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,7,2.54,2.02 (1.57-2.47),269,97.46,3.59 (3.37-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.429,93.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.094,21.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
