tipo_celular,module_size,SPPL2B_MM,SPPL2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.098,19.0,28,4,14.29,2.60 (2.25-2.95),24,85.71,5.82 (5.42-6.23)
oligodendrocyte progenitor cells 7,4285.0,0.089,4.0,353,32,9.07,1.86 (1.43-2.30),321,90.93,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,823.0,0.161,39.0,23,4,17.39,2.11 (-0.05-4.28),19,82.61,2.43 (1.64-3.22)
GLU like neurons 17,229.0,0.264,88.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57)
da like neurons 11,853.0,0.221,88.0,133,16,12.03,1.43 (0.92-1.95),117,87.97,3.56 (3.24-3.87)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.024,4.0,110,8,7.27,3.09 (1.03-5.16),102,92.73,5.15 (4.71-5.59)
GABA like neurons 14,3052.0,0.139,50.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,1266.0,0.101,67.0,66,21,31.82,1.97 (1.34-2.60),45,68.18,3.85 (3.43-4.28)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,26,9.42,2.17 (1.72-2.63),250,90.58,3.71 (3.48-3.94)
oligodendrocytes 10,1277.0,0.077,29.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.432,99.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,367.0,0.118,34.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,123.0,0.277,87.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.313,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.133,17.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.099,14.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.081,34.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
