tipo_celular,module_size,AP4S1_MM,AP4S1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.075,3.0,136,5,3.68,3.73 (3.15-4.31),131,96.32,3.19 (2.91-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,25,7.08,2.32 (1.72-2.92),328,92.92,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.378,95.0,24,13,54.17,1.62 (0.89-2.34),11,45.83,2.79 (2.28-3.31)
GLU like neurons 17,489.0,0.046,2.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.1,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.056,21.0,66,10,15.15,1.19 (0.62-1.75),56,84.85,3.66 (3.26-4.06)
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,15,5.43,2.80 (2.29-3.32),261,94.57,3.60 (3.37-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.044,21.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.306,43.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807.0,0.113,7.0,104,14,13.46,2.77 (2.00-3.53),90,86.54,2.88 (2.57-3.18)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
