tipo_celular,module_size,STEAP1B_MM,STEAP1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.35,70.0,98,3,3.06,1.68 (0.14-3.21),95,96.94,3.28 (2.80-3.76)
T cells 18,506.0,0.268,72.0,225,6,2.67,2.27 (1.36-3.18),219,97.33,3.66 (3.41-3.92)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.141,51.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.081,16.0,135,5,3.7,2.09 (1.07-3.11),130,96.3,3.24 (2.93-3.55)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.324,85.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,676.0,0.029,7.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2402.0,0.166,30.0,455,12,2.64,1.57 (0.81-2.32),443,97.36,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.198,84.0,235,4,1.7,2.71 (1.78-3.64),231,98.3,3.85 (3.61-4.08)
oligodendrocytes 10,483.0,0.273,80.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,301.0,0.391,55.0,158,4,2.53,2.29 (1.07-3.51),154,97.47,4.33 (3.96-4.70)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.124,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.27,42.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,30.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,406.0,0.21,56.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,854.0,0.091,51.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.083,2.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
