tipo_celular,module_size,DMPK_MM,DMPK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.137,83.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,47,13.31,2.33 (1.96-2.71),306,86.69,4.21 (4.02-4.39)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.267,96.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33)
astrocytes 8,1266.0,0.145,86.0,66,20,30.3,2.24 (1.56-2.91),46,69.7,3.76 (3.31-4.21)
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,37,13.41,2.68 (2.29-3.07),239,86.59,3.72 (3.48-3.96)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.391,87.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,261.0,0.115,29.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.316,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.172,85.0,61,3,4.92,2.51 (0.99-4.04),58,95.08,2.99 (2.56-3.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
