tipo_celular,module_size,EFCAB2_MM,EFCAB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.155,17.0,21,2,9.52,0.45 (0.32-0.59),19,90.48,2.51 (1.88-3.13)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.175,58.0,32,3,9.38,5.67 (3.04-8.29),29,90.62,4.96 (4.46-5.46)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,4,1.13,0.85 (0.13-1.57),349,98.87,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,1069.0,0.162,48.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.127,53.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,101.0,0.252,54.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.126,49.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.053,24.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.169,60.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.102,68.0,66,2,3.03,0.45 (0.32-0.59),64,96.97,3.33 (2.92-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.127,93.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.158,54.0,358,4,1.12,0.85 (0.13-1.57),354,98.88,3.91 (3.71-4.10)
connective tissue cells 21,77.0,0.258,40.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1401.0,0.108,70.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,74.0,0.215,72.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.182,3.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,752.0,0.156,54.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.131,29.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,346.0,0.091,8.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.124,73.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.122,15.0,122,4,3.28,0.85 (0.13-1.57),118,96.72,3.44 (3.05-3.83)
