tipo_celular,module_size,THUMPD2_MM,THUMPD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.116,18.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.1,21.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656.0,0.131,76.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,20,5.67,2.01 (1.44-2.59),333,94.33,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.08,5.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,795.0,0.104,32.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,102.0,0.31,67.0,8,4,50.0,3.00 (NA-NA),4,50.0,2.04 (-0.10-4.18)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.058,2.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.085,38.0,18,3,16.67,1.43 (0.35-2.51),15,83.33,1.97 (1.18-2.76)
GABA like neurons 14,3052.0,0.136,47.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,218.0,0.039,9.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,143.0,0.027,2.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.11,33.0,358,23,6.42,2.01 (1.44-2.59),335,93.58,4.01 (3.82-4.20)
connective tissue cells 21,104.0,0.265,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.18,71.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,66.0,0.298,87.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.368,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.128,22.0,104,18,17.31,1.66 (1.29-2.04),86,82.69,3.14 (2.83-3.44)
oligodendrocytes 0,309.0,0.109,24.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,958.0,0.121,64.0,290,1,0.34,2.83 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,639.0,0.057,14.0,15,2,13.33,2.60 (2.45-2.75),13,86.67,3.44 (1.83-5.06)
oligodendrocytes 2,1630.0,0.13,27.0,154,2,1.3,5.16 (NA-NA),152,98.7,3.23 (2.96-3.50)
