tipo_celular,module_size,SMAP2_MM,SMAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.177,50.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.15,50.0,98,14,14.29,1.66 (1.03-2.29),84,85.71,3.40 (3.07-3.72)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.157,81.0,353,17,4.82,2.00 (1.23-2.78),336,95.18,4.01 (3.83-4.20)
GABA neurons expressing GLU receptors 22,823.0,0.199,63.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.068,8.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.147,34.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,90.0,0.108,11.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,1653.0,0.112,38.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.069,22.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,3052.0,0.104,21.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.291,88.0,358,20,5.59,2.36 (1.59-3.13),338,94.41,3.98 (3.79-4.17)
connective tissue cells 21,100.0,0.491,100.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.249,70.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,409.0,0.056,3.0,235,3,1.28,2.29 (2.29-2.29),232,98.72,4.01 (3.75-4.26)
astrocytes microglia 23,58.0,0.213,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.117,18.0,14,1,7.14,5.16 (NA-NA),13,92.86,5.56 (4.90-6.22)
microglia 1,315.0,0.174,51.0,144,1,0.69,2.68 (NA-NA),143,99.31,4.47 (4.17-4.78)
oligodendrocytes 3,187.0,0.067,23.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.115,9.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
