tipo_celular,module_size,RNF8_MM,RNF8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.097,22.0,136,12,8.82,3.53 (2.49-4.56),124,91.18,3.17 (2.89-3.45)
oligodendrocyte progenitor cells 7,4285.0,0.125,33.0,353,106,30.03,2.83 (2.55-3.11),247,69.97,4.48 (4.28-4.68)
GABA neurons expressing GLU receptors 22,1069.0,0.14,31.0,37,6,16.22,2.69 (1.65-3.72),31,83.78,2.03 (1.53-2.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,97.0,0.119,27.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.084,15.0,155,2,1.29,3.13 (NA-NA),153,98.71,4.35 (3.98-4.72)
oligodendrocytes 20,938.0,0.079,27.0,169,19,11.24,3.08 (2.28-3.88),150,88.76,3.53 (3.30-3.76)
GABA like neurons 14,3052.0,0.137,48.0,125,12,9.6,3.67 (3.20-4.14),113,90.4,3.32 (2.98-3.67)
astrocytes 8,262.0,0.096,27.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.033,4.0,276,81,29.35,2.66 (2.39-2.93),195,70.65,3.99 (3.72-4.26)
oligodendrocytes 10,130.0,0.055,4.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.048,15.0,96,8,8.33,2.37 (1.67-3.07),88,91.67,3.75 (3.27-4.24)
oligodendrocytes 16,151.0,0.246,84.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.361,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.131,25.0,104,41,39.42,2.38 (2.01-2.74),63,60.58,3.22 (2.84-3.61)
oligodendrocytes 0,2078.0,0.116,53.0,238,47,19.75,3.55 (3.14-3.97),191,80.25,3.66 (3.40-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.031,1.0,127,4,3.15,4.80 (4.44-5.16),123,96.85,3.07 (2.73-3.40)
oligodendrocytes 2,1630.0,0.135,35.0,154,9,5.84,3.85 (3.36-4.34),145,94.16,3.21 (2.93-3.49)
