tipo_celular,module_size,KDM4C_MM,KDM4C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.088,2.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,388.0,0.242,84.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39)
astrocytes 5,322.0,0.167,48.0,58,9,15.52,2.64 (2.00-3.28),49,84.48,4.52 (4.08-4.95)
oligodendrocyte progenitor cells 7,448.0,0.096,16.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.165,54.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,795.0,0.144,56.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,94.0,0.524,99.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.202,90.0,297,10,3.37,4.03 (3.10-4.96),287,96.63,3.66 (3.45-3.87)
oligodendrocytes 20,676.0,0.781,100.0,110,6,5.45,1.38 (0.94-1.82),104,94.55,5.29 (4.88-5.71)
GABA like neurons 14,1300.0,0.22,56.0,306,19,6.21,2.37 (1.83-2.90),287,93.79,5.35 (5.10-5.61)
astrocytes 8,771.0,0.16,58.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,153.0,0.329,22.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,236.0,0.393,25.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,104.0,0.214,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.127,81.0,96,7,7.29,2.15 (1.39-2.92),89,92.71,3.73 (3.26-4.20)
oligodendrocytes 16,153.0,0.396,64.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.169,6.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.12,13.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61)
oligodendrocytes 0,261.0,0.238,85.0,42,10,23.81,1.43 (1.16-1.70),32,76.19,5.26 (4.83-5.68)
microglia 1,315.0,0.094,11.0,144,2,1.39,2.67 (0.61-4.72),142,98.61,4.49 (4.18-4.80)
oligodendrocytes 3,116.0,0.301,74.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,237.0,0.144,16.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
