tipo_celular,module_size,SEC24C_MM,SEC24C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.137,34.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.106,35.0,136,14,10.29,3.98 (3.59-4.37),122,89.71,3.13 (2.84-3.42)
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,30,8.5,2.30 (1.72-2.88),323,91.5,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,714.0,0.102,8.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,172.0,0.175,33.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.056,3.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,275.0,0.269,73.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.111,20.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.061,36.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.043,10.0,32,11,34.38,1.48 (0.80-2.15),21,65.62,4.39 (3.48-5.30)
oligodendrocytes 10,1277.0,0.027,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,112.0,0.287,74.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,1768.0,0.095,57.0,105,15,14.29,2.42 (1.73-3.11),90,85.71,3.36 (2.99-3.73)
oligodendrocytes 16,69.0,0.292,95.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.344,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,49.0,104,16,15.38,2.83 (2.01-3.65),88,84.62,2.87 (2.57-3.17)
oligodendrocytes 0,2078.0,0.099,21.0,238,13,5.46,3.52 (2.64-4.40),225,94.54,3.64 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.049,8.0,76,6,7.89,3.97 (3.56-4.39),70,92.11,3.08 (2.65-3.51)
oligodendrocytes 2,1630.0,0.146,59.0,154,3,1.95,5.02 (NA-NA),151,98.05,3.23 (2.97-3.50)
