tipo_celular,module_size,FBXO42_MM,FBXO42_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.104,13.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,477.0,0.125,24.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.163,95.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,10,2.83,2.74 (1.84-3.65),343,97.17,3.93 (3.74-4.12)
GABA neurons expressing GLU receptors 22,567.0,0.136,22.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.308,99.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.216,87.0,133,2,1.5,3.78 (3.78-3.78),131,98.5,3.24 (2.93-3.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.155,70.0,297,3,1.01,4.54 (4.34-4.75),294,98.99,3.67 (3.46-3.87)
oligodendrocytes 20,295.0,0.436,95.0,28,2,7.14,3.78 (3.78-3.78),26,92.86,2.06 (1.60-2.52)
GABA like neurons 14,1300.0,0.33,94.0,306,3,0.98,3.17 (1.97-4.36),303,99.02,5.12 (4.85-5.39)
astrocytes 8,1266.0,0.134,83.0,66,1,1.52,3.78 (NA-NA),65,98.48,3.22 (2.79-3.64)
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,10,3.62,2.74 (1.84-3.65),266,96.38,3.58 (3.36-3.80)
oligodendrocytes 10,2107.0,0.117,37.0,358,10,2.79,2.74 (1.84-3.65),348,97.21,3.90 (3.71-4.10)
connective tissue cells 21,145.0,0.353,80.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.089,53.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,155.0,0.199,37.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.145,1.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,255.0,0.129,14.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.131,29.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.086,13.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,854.0,0.066,21.0,76,1,1.32,4.65 (NA-NA),75,98.68,2.75 (2.42-3.08)
oligodendrocytes 2,407.0,0.152,49.0,122,5,4.1,2.35 (1.12-3.58),117,95.9,3.38 (2.98-3.78)
