tipo_celular,module_size,REPS1_MM,REPS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.197,49.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.139,46.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,118.0,0.194,26.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,23,6.52,1.91 (1.39-2.42),330,93.48,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.217,83.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.136,61.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,71.0,0.384,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.166,77.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.064,32.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.26,91.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.184,100.0,276,17,6.16,2.63 (2.03-3.23),259,93.84,3.62 (3.39-3.85)
oligodendrocytes 10,2107.0,0.202,70.0,358,21,5.87,1.89 (1.32-2.45),337,94.13,4.03 (3.84-4.22)
connective tissue cells 21,69.0,0.281,48.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.267,86.0,10,2,20.0,2.85 (2.64-3.05),8,80.0,3.97 (1.71-6.23)
oligodendrocytes 16,151.0,0.225,70.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.271,43.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.147,38.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,479.0,0.137,37.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.111,52.0,161,20,12.42,1.84 (1.26-2.42),141,87.58,3.53 (3.25-3.80)
oligodendrocytes 3,854.0,0.118,77.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.154,53.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
