tipo_celular,module_size,BAIAP2_MM,BAIAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.254,89.0,80,9,11.25,5.22 (3.85-6.59),71,88.75,3.16 (2.68-3.64)
oligodendrocyte progenitor cells 7,666.0,0.195,69.0,127,24,18.9,3.07 (2.35-3.79),103,81.1,4.05 (3.68-4.42)
GABA neurons expressing GLU receptors 22,703.0,0.146,27.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.205,81.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.164,84.0,83,4,4.82,4.28 (1.74-6.82),79,95.18,3.19 (2.74-3.64)
oligodendrocyte progenitor cells 12,411.0,0.053,26.0,103,14,13.59,5.62 (4.23-7.00),89,86.41,5.54 (5.14-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.074,39.0,96,21,21.88,4.06 (3.36-4.76),75,78.12,3.46 (2.91-4.01)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.346,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.336,90.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
