tipo_celular,module_size,HMGCS1_MM,HMGCS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.236,83.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.164,49.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.132,46.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,1220.0,0.229,65.0,410,9,2.2,3.35 (2.65-4.05),401,97.8,4.28 (4.08-4.47)
GABA neurons expressing GABA receptors 13,265.0,0.177,62.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.046,11.0,169,8,4.73,2.67 (1.51-3.82),161,95.27,3.53 (3.31-3.75)
GABA like neurons 14,2402.0,0.356,74.0,455,11,2.42,2.19 (1.24-3.14),444,97.58,4.42 (4.23-4.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.265,83.0,32,3,9.38,2.45 (0.30-4.59),29,90.62,3.34 (2.47-4.22)
oligodendrocytes 10,735.0,0.202,89.0,277,7,2.53,3.78 (3.63-3.93),270,97.47,3.90 (3.65-4.15)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.192,50.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,518.0,0.203,96.0,122,4,3.28,1.41 (0.40-2.42),118,96.72,4.10 (3.71-4.50)
astrocytes microglia 23,110.0,0.355,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.145,63.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.09,40.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
