tipo_celular,module_size,RBCK1_MM,RBCK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.145,40.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47)
T cells 18,727.0,0.13,38.0,49,11,22.45,4.11 (3.34-4.89),38,77.55,2.12 (1.75-2.49)
astrocytes 5,1656.0,0.126,68.0,136,8,5.88,1.97 (1.31-2.62),128,94.12,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,64,18.13,2.62 (2.30-2.95),289,81.87,4.23 (4.03-4.42)
GABA neurons expressing GLU receptors 22,487.0,0.108,10.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.088,11.0,302,2,0.66,1.85 (-1.38-5.08),300,99.34,4.00 (3.77-4.23)
oligodendrocytes 20,279.0,0.164,32.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.077,7.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68)
astrocytes 8,603.0,0.095,62.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28)
oligodendrocyte progenitor cells 12,3303.0,0.022,1.0,276,62,22.46,2.64 (2.31-2.96),214,77.54,3.85 (3.60-4.11)
oligodendrocytes 10,483.0,0.131,54.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,126.0,0.309,64.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,443.0,0.13,35.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09)
oligodendrocytes 16,155.0,0.243,67.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.302,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,68.0,104,34,32.69,2.32 (1.91-2.74),70,67.31,3.13 (2.78-3.48)
oligodendrocytes 0,2078.0,0.106,32.0,238,29,12.18,3.14 (2.62-3.67),209,87.82,3.70 (3.46-3.93)
microglia 1,813.0,0.058,1.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.057,12.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.143,52.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
