tipo_celular,module_size,PEX3_MM,PEX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.151,50.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388.0,0.037,1.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.14,86.0,136,6,4.41,4.14 (3.36-4.93),130,95.59,3.19 (2.92-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,41,11.61,2.36 (1.92-2.79),312,88.39,4.13 (3.94-4.32)
GABA neurons expressing GLU receptors 22,714.0,0.116,12.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,685.0,0.144,58.0,135,10,7.41,2.62 (1.85-3.39),125,92.59,3.24 (2.92-3.57)
da like neurons 11,71.0,0.15,23.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.089,20.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.041,15.0,110,2,1.82,1.99 (1.51-2.46),108,98.18,5.07 (4.63-5.52)
GABA like neurons 14,3052.0,0.145,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.095,26.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,23,8.33,2.80 (2.33-3.27),253,91.67,3.63 (3.40-3.87)
oligodendrocytes 10,2107.0,0.096,26.0,358,33,9.22,2.38 (1.89-2.86),325,90.78,4.07 (3.88-4.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.108,70.0,105,21,20.0,2.44 (1.93-2.95),84,80.0,3.43 (3.03-3.82)
oligodendrocytes 16,75.0,0.195,55.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.369,76.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,787.0,0.139,27.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.141,94.0,238,9,3.78,2.85 (1.71-3.99),229,96.22,3.66 (3.44-3.89)
microglia 1,1615.0,0.087,17.0,161,21,13.04,1.74 (1.20-2.27),140,86.96,3.56 (3.29-3.84)
oligodendrocytes 3,854.0,0.083,42.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.117,20.0,200,11,5.5,3.32 (2.72-3.91),189,94.5,3.64 (3.36-3.93)
