tipo_celular,module_size,DYNC1I2_MM,DYNC1I2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.129,5.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506,0.103,13.0,225,4,1.78,1.72 (0.65-2.79),221,98.22,3.66 (3.41-3.91)
astrocytes 5,328,0.138,32.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.162,48.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,487,0.198,44.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,1316,0.103,31.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,132,0.276,56.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,417,0.121,19.0,213,9,4.23,0.92 (0.26-1.57),204,95.77,3.92 (3.69-4.15)
endothelial cells 9,916,0.198,47.0,302,2,0.66,1.70 (-1.22-4.62),300,99.34,4.00 (3.78-4.23)
oligodendrocytes 20,938,0.438,100.0,169,5,2.96,1.89 (0.66-3.11),164,97.04,3.54 (3.32-3.76)
GABA like neurons 14,2402,0.335,72.0,455,13,2.86,1.54 (0.78-2.30),442,97.14,4.45 (4.27-4.63)
astrocytes 8,771,0.183,63.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,1049,0.167,79.0,235,1,0.43,3.18 (NA-NA),234,99.57,3.83 (3.59-4.06)
oligodendrocytes 10,735,0.07,29.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,301,0.279,24.0,158,2,1.27,0.67 (0.43-0.90),156,98.73,4.32 (3.96-4.68)
astrocytes 15,338,0.124,29.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91,0.133,9.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,729,0.122,34.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,131,0.249,14.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,787,0.129,14.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,546,0.257,81.0,252,10,3.97,1.25 (0.50-2.00),242,96.03,4.25 (4.01-4.49)
microglia 1,406,0.105,19.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.129,47.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.461,89.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
