tipo_celular,module_size,UQCRC1_MM,UQCRC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.049,0.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,296.0,0.101,6.0,251,8,3.19,2.69 (2.34-3.04),243,96.81,4.12 (3.87-4.36)
GABA neurons expressing GLU receptors 22,599.0,0.208,48.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.132,30.0,410,37,9.02,3.33 (2.86-3.79),373,90.98,4.35 (4.15-4.55)
GABA neurons expressing GABA receptors 13,67.0,0.191,58.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.098,14.0,302,29,9.6,3.39 (2.84-3.94),273,90.4,4.06 (3.82-4.30)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.402,80.0,455,36,7.91,2.85 (2.25-3.45),419,92.09,4.50 (4.32-4.69)
astrocytes 8,520.0,0.08,30.0,288,25,8.68,3.36 (2.77-3.96),263,91.32,4.26 (4.05-4.47)
oligodendrocyte progenitor cells 12,1049.0,0.068,33.0,235,22,9.36,3.68 (3.18-4.18),213,90.64,3.84 (3.59-4.09)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.333,64.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768.0,0.043,8.0,105,7,6.67,1.37 (0.74-2.00),98,93.33,3.36 (3.01-3.70)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.121,49.0,235,20,8.51,3.41 (2.80-4.03),215,91.49,4.04 (3.77-4.31)
astrocytes microglia 23,76.0,0.371,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.121,13.0,104,6,5.77,1.10 (0.36-1.84),98,94.23,2.98 (2.70-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
