tipo_celular,module_size,CCDC82_MM,CCDC82_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.128,29.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,518.0,0.145,42.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.14,86.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,6,1.7,0.55 (0.29-0.81),347,98.3,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,1069.0,0.125,21.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229.0,0.14,17.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,408.0,0.064,3.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,77.0,0.222,78.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412.0,0.065,4.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,348.0,0.042,15.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.2,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.049,12.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.073,27.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,483.0,0.017,0.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,111.0,0.315,73.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.06,23.0,105,1,0.95,1.18 (NA-NA),104,99.05,3.23 (2.90-3.57)
oligodendrocytes 16,112.0,0.161,39.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.265,13.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.15,60.0,104,2,1.92,0.86 (0.24-1.48),102,98.08,2.90 (2.62-3.19)
oligodendrocytes 0,479.0,0.136,37.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,958.0,0.101,33.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639.0,0.144,79.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.188,83.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
