tipo_celular,module_size,ACTN2_MM,ACTN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.17,63.0,80,6,7.5,4.56 (3.09-6.04),74,92.5,3.29 (2.80-3.78)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,36,10.2,2.44 (1.93-2.94),317,89.8,4.11 (3.93-4.30)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.406,91.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,3052.0,0.055,2.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,771.0,0.11,46.0,48,6,12.5,4.93 (3.29-6.57),42,87.5,4.34 (3.50-5.18)
oligodendrocyte progenitor cells 12,708.0,0.133,59.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.218,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.115,22.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,199.0,0.232,86.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.383,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.117,8.0,95,7,7.37,2.94 (0.71-5.16),88,92.63,3.41 (2.99-3.83)
oligodendrocytes 0,117.0,0.122,31.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.403,100.0,6,3,50.0,5.77 (5.31-6.23),3,50.0,6.20 (4.17-8.24)
oligodendrocytes 2,804.0,0.285,100.0,84,8,9.52,2.35 (1.32-3.37),76,90.48,2.73 (2.38-3.09)
