tipo_celular,module_size,HMGXB4_MM,HMGXB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.226,61.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.12,56.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,24,6.8,1.76 (1.29-2.23),329,93.2,4.09 (3.91-4.28)
GABA neurons expressing GLU receptors 22,1069.0,0.111,14.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,229.0,0.176,35.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853.0,0.09,18.0,133,13,9.77,1.46 (0.92-2.00),120,90.23,3.49 (3.17-3.81)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.078,12.0,297,3,1.01,3.27 (1.67-4.87),294,98.99,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.054,14.0,169,4,2.37,1.56 (0.20-2.92),165,97.63,3.54 (3.32-3.75)
GABA like neurons 14,2090.0,0.179,67.0,74,1,1.35,2.95 (NA-NA),73,98.65,2.94 (2.56-3.32)
astrocytes 8,771.0,0.034,3.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.055,21.0,276,21,7.61,2.18 (1.64-2.73),255,92.39,3.68 (3.46-3.91)
oligodendrocytes 10,2107.0,0.092,24.0,358,28,7.82,1.69 (1.27-2.11),330,92.18,4.12 (3.93-4.30)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.063,25.0,105,10,9.52,1.72 (1.11-2.34),95,90.48,3.38 (3.03-3.73)
oligodendrocytes 16,123.0,0.145,10.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.353,71.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,1807.0,0.163,82.0,104,9,8.65,1.30 (0.73-1.86),95,91.35,3.02 (2.74-3.31)
oligodendrocytes 0,2078.0,0.127,76.0,238,5,2.1,2.53 (1.07-3.99),233,97.9,3.66 (3.44-3.89)
microglia 1,958.0,0.082,9.0,290,13,4.48,2.41 (1.56-3.25),277,95.52,3.90 (3.67-4.13)
oligodendrocytes 3,357.0,0.087,44.0,127,2,1.57,4.63 (1.34-7.92),125,98.43,3.09 (2.76-3.42)
oligodendrocytes 2,921.0,0.113,14.0,200,4,2.0,3.50 (1.62-5.38),196,98.0,3.62 (3.36-3.89)
