tipo_celular,module_size,TBC1D8_MM,TBC1D8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.333,88.0,102,6,5.88,1.42 (0.95-1.88),96,94.12,3.64 (3.27-4.01)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.109,50.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,5,1.42,2.61 (0.48-4.73),348,98.58,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,1069.0,0.16,47.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.152,63.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,120.0,0.224,41.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.217,66.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,271.0,0.057,7.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.179,67.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,262.0,0.038,3.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.113,53.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,2107.0,0.163,56.0,358,13,3.63,2.52 (1.48-3.56),345,96.37,3.93 (3.74-4.12)
connective tissue cells 21,136.0,0.247,29.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,443.0,0.043,4.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,107.0,0.201,34.0,11,0,0.0,NA,11,100.0,1.49 (0.81-2.16)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.358,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.137,35.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,1186.0,0.145,50.0,300,2,0.67,4.01 (3.12-4.91),298,99.33,3.79 (3.58-4.00)
microglia 1,813.0,0.234,96.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.104,66.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.1,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
