tipo_celular,module_size,DISC1_MM,DISC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.158,47.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.201,83.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.165,70.0,219,24,10.96,4.78 (3.97-5.59),195,89.04,5.28 (4.97-5.59)
GABA neurons expressing GLU receptors 22,459.0,0.19,64.0,165,19,11.52,3.19 (2.21-4.17),146,88.48,5.37 (5.04-5.70)
GLU like neurons 17,489.0,0.16,62.0,42,14,33.33,5.07 (4.43-5.72),28,66.67,6.52 (5.82-7.23)
da like neurons 11,101.0,0.167,38.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.242,98.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.048,11.0,169,5,2.96,1.43 (0.50-2.36),164,97.04,3.56 (3.34-3.77)
GABA like neurons 14,3052.0,0.1,18.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.384,79.0,37,15,40.54,3.86 (3.14-4.59),22,59.46,5.09 (4.28-5.90)
oligodendrocytes 10,2107.0,0.496,100.0,358,24,6.7,1.42 (0.99-1.85),334,93.3,4.08 (3.90-4.26)
connective tissue cells 21,147.0,0.319,85.0,4,1,25.0,5.57 (NA-NA),3,75.0,5.26 (4.65-5.88)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,108.0,0.188,55.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.316,60.0,99,14,14.14,3.74 (3.26-4.22),85,85.86,4.40 (4.02-4.79)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.218,85.0,40,7,17.5,4.46 (4.05-4.86),33,82.5,6.26 (5.70-6.82)
microglia 1,315.0,0.14,34.0,144,23,15.97,4.06 (3.44-4.68),121,84.03,4.55 (4.20-4.89)
oligodendrocytes 3,1003.0,0.187,93.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.121,10.0,114,28,24.56,4.71 (4.10-5.32),86,75.44,5.30 (4.77-5.82)
