tipo_celular,module_size,BCL7C_MM,BCL7C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.162,42.0,225,13,5.78,2.02 (1.69-2.35),212,94.22,3.75 (3.49-4.01)
astrocytes 5,932.0,0.101,39.0,80,5,6.25,4.60 (3.78-5.42),75,93.75,3.60 (3.16-4.03)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,70,19.83,2.58 (2.26-2.89),283,80.17,4.34 (4.15-4.54)
GABA neurons expressing GLU receptors 22,487.0,0.139,18.0,73,7,9.59,1.85 (1.36-2.35),66,90.41,2.87 (2.45-3.29)
GLU like neurons 17,1247.0,0.143,57.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.118,19.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.136,28.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,221.0,0.317,84.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.171,62.0,74,18,24.32,2.81 (2.28-3.33),56,75.68,2.99 (2.51-3.48)
astrocytes 8,1266.0,0.061,27.0,66,16,24.24,1.62 (1.07-2.18),50,75.76,3.85 (3.45-4.26)
oligodendrocyte progenitor cells 12,411.0,0.04,12.0,103,3,2.91,2.90 (2.44-3.36),100,97.09,5.65 (5.27-6.03)
oligodendrocytes 10,483.0,0.078,29.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,100.0,0.255,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.06,34.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,121.0,0.296,92.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.551,96.0,3,1,33.33,1.82 (NA-NA),2,66.67,NA
astrocytes 4,1807.0,0.135,32.0,104,19,18.27,1.59 (1.13-2.05),85,81.73,3.18 (2.88-3.47)
oligodendrocytes 0,2078.0,0.084,5.0,238,19,7.98,2.77 (2.28-3.26),219,92.02,3.73 (3.49-3.96)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.043,2.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.1,3.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52)
