tipo_celular,module_size,CCDC174_MM,CCDC174_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.103,30.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,13,3.68,1.48 (0.86-2.10),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.169,53.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.068,5.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.027,4.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402.0,0.14,21.0,455,12,2.64,1.44 (0.77-2.11),443,97.36,4.45 (4.27-4.63)
astrocytes 8,354.0,0.067,18.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.03,3.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,2107.0,0.033,2.0,358,13,3.63,1.48 (0.86-2.10),345,96.37,3.98 (3.79-4.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.07,33.0,105,6,5.71,1.76 (1.17-2.35),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,156.0,0.258,84.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.292,30.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.133,29.0,104,9,8.65,1.97 (1.28-2.65),95,91.35,2.95 (2.66-3.25)
oligodendrocytes 0,2078.0,0.097,17.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.059,18.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
