tipo_celular,module_size,RNF130_MM,RNF130_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.187,70.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.241,68.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,165,0.132,24.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,436,0.143,59.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,192,0.149,63.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,300,0.066,1.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,108,0.273,72.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,288,0.189,58.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,450,0.297,68.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.244,47.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.179,36.0,306,3,0.98,2.03 (0.22-3.85),303,99.02,5.14 (4.88-5.40)
astrocytes 8,771,0.266,76.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,153,0.132,13.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,2107,0.196,68.0,358,24,6.7,2.51 (1.89-3.13),334,93.3,3.96 (3.77-4.16)
connective tissue cells 21,250,0.187,14.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,443,0.165,61.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,287,0.228,32.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,398,0.273,83.0,138,2,1.45,1.74 (-1.16-4.64),136,98.55,4.88 (4.51-5.24)
astrocytes microglia 23,122,0.219,5.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,220,0.112,17.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,261,0.105,10.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,315,0.12,22.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,357,0.104,57.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,237,0.144,16.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
