tipo_celular,module_size,NFKBIA_MM,NFKBIA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.207,86.0,71,6,8.45,1.74 (1.02-2.47),65,91.55,2.72 (2.27-3.16)
T cells 18,506.0,0.153,37.0,225,25,11.11,2.91 (2.46-3.35),200,88.89,3.74 (3.46-4.02)
astrocytes 5,328.0,0.124,27.0,128,5,3.91,4.27 (3.28-5.27),123,96.09,3.53 (3.17-3.88)
oligodendrocyte progenitor cells 7,628.0,0.202,70.0,164,2,1.22,1.99 (0.62-3.35),162,98.78,4.12 (3.79-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.246,85.0,135,45,33.33,2.63 (2.26-3.01),90,66.67,3.53 (3.11-3.94)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.38,90.0,155,3,1.94,3.28 (3.00-3.56),152,98.06,4.36 (3.99-4.73)
oligodendrocytes 20,253.0,0.194,68.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.15,25.0,455,32,7.03,1.98 (1.48-2.49),423,92.97,4.56 (4.38-4.74)
astrocytes 8,603.0,0.113,71.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29)
oligodendrocyte progenitor cells 12,1049.0,0.16,77.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.086,21.0,358,69,19.27,2.06 (1.82-2.30),289,80.73,4.44 (4.26-4.62)
connective tissue cells 21,69.0,0.254,28.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.075,39.0,105,22,20.95,1.86 (1.46-2.26),83,79.05,3.61 (3.24-3.98)
oligodendrocytes 16,88.0,0.291,94.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.243,10.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.191,99.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.275,98.0,127,23,18.11,2.42 (2.07-2.76),104,81.89,3.26 (2.73-3.79)
microglia 1,480.0,0.241,71.0,163,24,14.72,3.93 (3.37-4.48),139,85.28,3.67 (3.37-3.96)
oligodendrocytes 3,681.0,0.144,85.0,87,50,57.47,2.18 (1.91-2.45),37,42.53,3.16 (2.69-3.64)
oligodendrocytes 2,528.0,0.209,55.0,175,11,6.29,2.87 (2.07-3.67),164,93.71,4.51 (4.14-4.87)
