tipo_celular,module_size,AJAP1_MM,AJAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,5,1.42,1.60 (0.58-2.61),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,714.0,0.185,52.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380.0,0.158,40.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853.0,0.278,96.0,133,3,2.26,1.83 (0.23-3.42),130,97.74,3.29 (2.98-3.61)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.212,58.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.23,90.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.088,45.0,103,5,4.85,3.66 (2.68-4.65),98,95.15,5.67 (5.28-6.07)
oligodendrocytes 10,806.0,0.113,32.0,261,2,0.77,2.78 (-0.14-5.69),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.212,57.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.109,35.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.132,85.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.076,32.0,87,4,4.6,1.94 (0.97-2.91),83,95.4,2.62 (2.34-2.90)
oligodendrocytes 2,407.0,0.183,76.0,122,7,5.74,1.50 (0.83-2.16),115,94.26,3.48 (3.08-3.87)
