tipo_celular,module_size,UBQLN2_MM,UBQLN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,32,9.07,3.12 (2.39-3.85),321,90.93,3.98 (3.79-4.16)
GABA neurons expressing GLU receptors 22,848.0,0.222,54.0,262,16,6.11,2.97 (1.90-4.03),246,93.89,4.26 (4.02-4.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.229,65.0,410,14,3.41,3.80 (2.65-4.96),396,96.59,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,265.0,0.189,67.0,78,7,8.97,3.09 (2.28-3.90),71,91.03,4.53 (4.09-4.96)
endothelial cells 9,338.0,0.07,13.0,191,7,3.66,5.05 (3.19-6.92),184,96.34,3.84 (3.62-4.06)
oligodendrocytes 20,279.0,0.13,19.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.245,54.0,455,18,3.96,3.52 (2.48-4.56),437,96.04,4.39 (4.20-4.57)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.12,89.0,276,25,9.06,3.17 (2.40-3.95),251,90.94,3.58 (3.36-3.81)
oligodendrocytes 10,806.0,0.166,53.0,261,10,3.83,3.43 (2.37-4.48),251,96.17,4.42 (4.17-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.225,69.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,300.0,0.17,53.0,159,1,0.63,6.67 (NA-NA),158,99.37,4.35 (4.04-4.65)
astrocytes microglia 23,161.0,0.4,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.119,60.0,238,11,4.62,3.94 (2.21-5.67),227,95.38,3.62 (3.40-3.84)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.084,31.0,345,19,5.51,3.80 (2.89-4.72),326,94.49,4.31 (4.10-4.52)
oligodendrocytes 2,1630.0,0.214,100.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
